name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Kuznetzovo,12385,Valid,L6,4047.0,Fell,1932-01-01T00:00:00.000,55.2,75.33333,"{'latitude': '55.2', 'longitude': '75.33333'}",,
Kyushu,12390,Valid,L6,45000.0,Fell,1886-01-01T00:00:00.000,32.03333,130.63333,"{'latitude': '32.03333', 'longitude': '130.63333'}",,
La Bécasse,12392,Valid,L6,2800.0,Fell,1879-01-01T00:00:00.000,47.08333,1.75,"{'latitude': '47.08333', 'longitude': '1.75'}",,
La Charca,12394,Valid,OC,399.0,Fell,1878-01-01T00:00:00.000,20.66667,-101.28333,"{'latitude': '20.66667', 'longitude': '-101.28333'}",,
La Colina,12395,Valid,H5,2000.0,Fell,1924-01-01T00:00:00.000,-37.33333,-61.53333,"{'latitude': '-37.33333', 'longitude': '-61.53333'}",,
La Criolla,12396,Valid,L6,45000.0,Fell,1985-01-01T00:00:00.000,-31.23333,-58.16667,"{'latitude': '-31.23333', 'longitude': '-58.16667'}",,
Laborel,12408,Valid,H5,3833.0,Fell,1871-01-01T00:00:00.000,44.28333,5.58333,"{'latitude': '44.28333', 'longitude': '5.58333'}",,
Lahrauli,12433,Valid,Ureilite,900.0,Fell,1955-01-01T00:00:00.000,26.78333,82.71667,"{'latitude': '26.78333', 'longitude': '82.71667'}",,
L'Aigle,12434,Valid,L6,37000.0,Fell,1803-01-01T00:00:00.000,48.76667,0.63333,"{'latitude': '48.76667', 'longitude': '0.63333'}",,
Cumulus Hills 04075,32531,Valid,Pallasite,9.6,Found,2003-01-01T00:00:00.000,,,,,
Lakangaon,12435,Valid,Eucrite-mmict,212.5,Fell,1910-01-01T00:00:00.000,21.86667,76.03333,"{'latitude': '21.86667', 'longitude': '76.03333'}",,
Lalitpur,12451,Valid,L6,372.0,Fell,1887-01-01T00:00:00.000,24.45,78.56667,"{'latitude': '24.45', 'longitude': '78.56667'}",,
Lancé,12455,Valid,CO3.5,51700.0,Fell,1872-01-01T00:00:00.000,47.7,1.06667,"{'latitude': '47.7', 'longitude': '1.06667'}",,
Lancon,12456,Valid,H6,7000.0,Fell,1897-01-01T00:00:00.000,43.75,5.11667,"{'latitude': '43.75', 'longitude': '5.11667'}",,
Långhalsen,12461,Valid,L6,2300.0,Fell,1947-01-01T00:00:00.000,58.85,16.73333,"{'latitude': '58.85', 'longitude': '16.73333'}",,
Lanxi,12464,Valid,L6,1282.0,Fell,1986-01-01T00:00:00.000,46.24167,126.19611,"{'latitude': '46.24167', 'longitude': '126.19611'}",,
Lanzenkirchen,12465,Valid,L4,7000.0,Fell,1925-01-01T00:00:00.000,47.75,16.23333,"{'latitude': '47.75', 'longitude': '16.23333'}",,
Laochenzhen,12466,Valid,H5,14250.0,Fell,1987-01-01T00:00:00.000,33.13333,115.16667,"{'latitude': '33.13333', 'longitude': '115.16667'}",,
Launton,12740,Valid,L6,1060.0,Fell,1830-01-01T00:00:00.000,51.9,-1.11667,"{'latitude': '51.9', 'longitude': '-1.11667'}",,
Lavrentievka,12743,Valid,L6,800.0,Fell,1938-01-01T00:00:00.000,52.45,51.56667,"{'latitude': '52.45', 'longitude': '51.56667'}",,
Le Pressoir,12748,Valid,H5,3000.0,Fell,1845-01-01T00:00:00.000,47.16667,0.43333,"{'latitude': '47.16667', 'longitude': '0.43333'}",,
Le Teilleul,12749,Valid,Howardite,780.0,Fell,1845-01-01T00:00:00.000,48.53333,-0.86667,"{'latitude': '48.53333', 'longitude': '-0.86667'}",,
